Date,AAPL,MSFT,DB,YHOO,GLD
12/18/2015,103.722263,52.684332,23.33,32.950001,102.040001
12/17/2015,106.608061,54.212401,23.620001,33.23,100.5
12/16/2015,108.916689,54.630917,23.85,33.779999,102.75
12/15/2015,108.08519,53.725755,23.370001,33.029999,101.519997
12/14/2015,110.031884,53.667356,23.129999,32.59,101.790001
12/11/2015,110.716645,52.616202,23.18,32.91,103.110001
12/10/2015,113.641566,53.793885,24.290001,34.630001,102.550003
12/9/2015,113.103541,53.511629,24.440001,34.400002,102.639999
12/8/2015,115.656735,54.299998,24.42,34.849998,102.839996
12/7/2015,115.705642,54.319464,25.23,34.68,102.669998
12/4/2015,116.439319,54.416792,25.49,34.91,104.019997
12/3/2015,112.692677,52.752462,25.35,34.34,101.760002
12/2/2015,113.749172,53.735486,25.41,35.650002,100.690002
12/1/2015,114.786099,53.745221,26.18,33.709999,102.279999
11/30/2015,115.725211,52.898454,25.690001,33.810001,101.919998
11/27/2015,115.245871,52.489673,25.370001,32.939999,101.25
11/25/2015,115.461084,52.256081,25.379999,33.16,102.459999
11/24/2015,116.292582,52.801126,25.32,32.959999,102.940002
11/23/2015,115.187179,52.742727,25.450001,33.360001,102.260002
11/20/2015,116.703446,52.742727,25.879999,33.110001,103.089996
11/19/2015,116.19476,52.499404,26.450001,32.630001,103.559998
11/18/2015,114.737192,52.411808,26.139999,32.98,102.43
11/17/2015,111.215547,51.555313,25.42,32.860001,102.339996
11/16/2015,111.69488,51.98356,25.6,32.950001,103.709999
11/13/2015,109.894924,51.084457,25.51,32.189999,103.559998
11/12/2015,113.201363,51.548509,26.01,33.23,103.849998
11/11/2015,113.582874,51.867547,26.530001,33.380001,103.830002
11/10/2015,114.228505,51.732196,26.76,33.990002,104.18
11/9/2015,117.945802,52.360602,27.25,33.68,104.400002
11/6/2015,118.425135,53.09535,27.690001,34.200001,104.099998
11/5/2015,118.288182,52.573294,27.52,35.119999,105.639999
11/4/2015,118.835996,52.59263,27.74,35.07,105.970001
11/3/2015,119.391213,52.350936,28.370001,34.720001,106.980003
11/2/2015,118.037263,51.471169,28.540001,35.27,108.589996
10/30/2015,116.400832,50.891101,27.950001,35.619999,109.300003
10/29/2015,117.404119,51.587181,27.889999,35.049999,109.720001
10/28/2015,116.176794,52.186582,30.309999,35.189999,110.779999
10/27/2015,111.579211,51.906216,30.200001,34.299999,111.68
10/26/2015,112.290275,52.447612,30.35,33.400002,111.43
10/23/2015,115.991727,51.113459,30.75,33.169998,111.5
10/22/2015,112.50457,46.434262,30.309999,31.67,111.690002
10/21/2015,110.809698,45.63184,29.799999,31.120001,111.730003
10/20/2015,110.819433,46.182902,30.120001,32.830002,112.730003
10/19/2015,108.832346,46.037884,30.299999,33.5,112.019997
10/16/2015,108.160239,45.931538,29.58,33.369999,112.489998
10/15/2015,108.958972,45.44815,29.290001,33.48,113.290001
10/14/2015,107.351763,45.129116,28.9,32.09,113.809998
10/13/2015,108.890788,45.332138,28.780001,32.34,111.860001
10/12/2015,108.705713,45.438484,29.139999,32.860001,111.309998
10/9/2015,109.212231,45.54483,29.34,32.52,110.870003
10/8/2015,106.660177,45.873534,28.389999,32.369999,109.139999
10/7/2015,107.90698,45.245128,28.790001,31.870001,109.699997
10/6/2015,108.423233,45.19679,28.4,30.959999,109.860001
10/5/2015,107.90698,45.080778,28.200001,30.85,108.769997
10/2/2015,107.517352,44.055993,27.139999,30.709999,108.989998
10/1/2015,106.738104,43.127889,26.52,28.91,106.730003
9/30/2015,107.439432,42.789515,26.959999,28.91,106.860001
9/29/2015,106.231586,41.996759,26.540001,28.26,107.980003
9/28/2015,109.523932,41.851745,26.209999,27.6,108.419998
9/25/2015,111.735057,42.480147,27.41,29.129999,109.809998
9/24/2015,112.017537,42.451145,27.41,29.34,110.489998
9/23/2015,111.355172,42.412473,27.34,29.74,108.220001
9/22/2015,110.459034,42.441479,27.610001,30.4,107.790001
9/21/2015,112.22209,42.644501,28.51,31.17,108.529999
9/18/2015,110.507733,42.035431,28.450001,30.74,109.209999
9/17/2015,110.965545,42.779849,29.799999,30.93,108.410004
9/16/2015,113.390973,42.828187,29.459999,31.4,107.309998
9/15/2015,113.26434,42.518819,29.629999,31.040001,105.900002
9/14/2015,112.319495,41.610051,29.139999,30.32,106.220001
9/11/2015,111.248025,42.035431,29.219999,31.43,106.160004
9/10/2015,109.650558,41.851745,29.24,31.15,106.379997
9/9/2015,107.293321,41.639053,28.969999,31.52,106.129997
9/8/2015,109.397299,42.431809,29.49,30.9,107.519997
9/4/2015,106.436139,41.194337,28.309999,31.58,107.489998
9/3/2015,107.507617,42.054767,29.26,32.540001,107.839996
9/2/2015,109.426519,41.919419,29,31.77,108.620003
9/1/2015,104.926341,40.430583,28.66,31.6,109.199997
8/31/2015,109.835633,42.074103,29.5,32.240002,108.82
8/28/2015,110.351886,42.470481,29.67,33.139999,108.699997
8/27/2015,109.991479,42.441479,30.059999,33.689999,107.730003
8/26/2015,106.845252,41.291013,29.799999,32.52,107.669998
8/25/2015,101.049557,39.125436,29.01,31.74,109.160004
8/24/2015,100.445641,40.295234,28.41,31.309999,110.529999
8/21/2015,103.017174,41.639053,29.709999,32.93,111.129997
8/20/2015,109.728485,44.143004,30.450001,34.099998,110.440002
8/19/2015,112.02728,45.061442,31.48,35.189999,108.550003
8/18/2015,113.478636,45.699514,31.790001,35.689999,107.110001
8/17/2015,114.121522,45.448152,32.139999,36.099998,107.129997
8/14/2015,112.952639,45.140811,32.41,36.240002,106.849998
8/13/2015,112.163649,44.881491,32.740002,35.93,106.860001
8/12/2015,112.251311,44.891097,32.880001,34.490002,107.75
8/11/2015,110.546696,44.574149,33.52,36.029999,106.260002
8/10/2015,116.615128,45.457759,34.040001,37.150002,105.720001
8/7/2015,112.524048,44.891097,33.77,36.669998,104.650002
8/6/2015,112.144163,44.775841,33.939999,36.459999,104.389999
8/5/2015,111.900655,45.697869,34.060001,37.25,103.93
8/4/2015,111.163699,45.659451,34.02,37.119999,104.309998
8/3/2015,114.848472,44.958328,34.880001,36.689999,104.099998
7/31/2015,117.621747,44.852679,35.02,36.669998,104.93
7/30/2015,118.659301,45.025559,34.75,37.419998,104.269997
7/29/2015,119.260495,44.458897,33.5,37.669998,105.169998
7/28/2015,119.638669,43.546476,33.240002,37.720001,105.019997
7/27/2015,119.047165,43.556079,32.709999,37.84,104.860001
7/24/2015,120.724709,44.12274,33.220001,38.849998,105.349998
7/23/2015,121.364699,44.286017,33.830002,39.209999,104.330002
7/22/2015,121.422877,43.738565,33.43,39.240002,104.800003
7/21/2015,126.785186,45.409734,33.400002,39.73,105.370003
7/20/2015,128.065166,45.063974,33.43,39.540001,105.699997
7/17/2015,125.689447,44.775841,33.049999,39.68,108.650002
7/16/2015,124.613106,44.81426,33.209999,38.91,109.760002
7/15/2015,122.974358,43.94986,32.73,38.380001,110.160004
7/14/2015,121.80105,43.815399,32.650002,38.630001,110.739998
7/13/2015,121.849537,43.738565,32.439999,38.759998,110.989998
7/10/2015,119.541702,42.845353,31.91,37.919998,111.489998
7/9/2015,116.429042,42.758913,30.16,37.610001,111.360001
7/8/2015,118.853233,42.48999,29.52,37.23,111.089996
7/7/2015,121.878626,42.547614,30.15,38.23,110.760002
7/6/2015,122.179223,42.634054,30.17,38.610001,112.059998
7/2/2015,122.605883,42.643661,31.52,39.380001,111.760002
7/1/2015,122.761028,42.691682,31.15,39.330002,111.980003
6/30/2015,121.626508,42.40355,30.16,39.290001,112.370003
6/29/2015,120.753798,42.614845,30.1,38.91,113.07
6/26/2015,122.906481,43.469639,32.25,40.060001,112.559998
6/25/2015,123.633738,43.844214,31.67,41.07,112.440002
6/24/2015,124.225241,43.834608,31.18,40.939999,112.589996
6/23/2015,123.177989,44.093928,31.469999,40.650002,112.889999
6/22/2015,123.740403,44.401269,31.440001,40.73,113.639999
6/19/2015,122.761028,44.276411,30.26,40.509998,115.120003
6/18/2015,124.002212,44.871888,31.139999,40.91,115.32
6/17/2015,123.439806,44.151556,31.18,40.959999,113.849998
6/16/2015,123.730704,44.017094,31.209999,40.639999,113.32
6/15/2015,123.071324,43.680937,31.34,40.470001,113.730003
6/12/2015,123.313743,44.151556,32.040001,40.529999,113.230003
6/11/2015,124.690682,44.602961,32.310001,40.939999,113.260002
6/10/2015,124.971896,44.766239,32.169998,42.060001,113.779999
6/9/2015,123.556162,43.844214,31.23,41.630001,112.82
6/8/2015,123.924644,43.921048,32.150002,42.009998,112.57
6/5/2015,124.74886,44.314829,30.629999,42.810001,112.239998
6/4/2015,125.437337,44.526128,31.34,42.880001,112.839996
6/3/2015,126.174285,44.996743,31.52,43.209999,113.639999
6/2/2015,126.019148,45.063974,31.07,43.150002,114.459999
6/1/2015,126.581548,45.361712,29.870001,43.349998,114
5/29/2015,126.329437,45.006349,30.209999,42.939999,114.099998
5/28/2015,127.783952,45.573011,30.74,43.07,114.019997
5/27/2015,128.036062,45.726681,30.860001,43.380001,113.889999
5/26/2015,125.689447,44.747029,30.59,42.849998,113.910004
5/22/2015,128.5209,45.044768,31.66,43.490002,115.599998
5/21/2015,127.405778,45.544195,32.187001,43.68,115.690002
5/20/2015,126.116107,45.697869,32.148009,42.790001,116.080002
5/19/2015,126.125813,45.697869,32.021287,40.98,115.889999
5/18/2015,126.24217,45.813119,32.079775,44.360001,117.519997
5/15/2015,124.865231,46.08985,32.508674,44.75,117.529999
5/14/2015,125.039766,46.490633,32.35271,44.950001,117.18
5/13/2015,122.188922,45.45051,31.845828,44.400002,116.550003
5/12/2015,122.053168,45.18332,31.485163,43.84,114.5
5/11/2015,122.489519,45.202405,31.514409,43.599998,113.529999
5/8/2015,123.750102,45.565018,31.602135,44.09,113.970001
5/7/2015,121.461665,44.563066,31.24147,43.869999,113.419998
5/6/2015,120.71501,44.162282,31.446171,41.66,114.360001
5/5/2015,121.477868,45.42188,30.715093,41.299999,114.419998
5/4/2015,124.278227,46.032598,31.280462,42.040001,114.099998
5/1/2015,124.519637,46.433377,31.475417,42.509998,113.080002
4/30/2015,120.850199,46.414292,31.290208,42.57,113.470001
4/29/2015,124.22029,46.815075,30.929543,43.279999,115.510002
4/28/2015,126.074323,46.910498,31.231724,44.34,116.330002
4/27/2015,128.092513,45.832204,31.787344,44.360001,115.330002
4/24/2015,125.803944,45.679526,33.395717,44.52,113.050003
4/23/2015,125.214901,41.356814,33.288495,43.700001,114.660004
4/22/2015,124.200973,41.022831,33.09354,43.98,113.830002
4/21/2015,122.549733,40.688845,32.498928,44.490002,115.379997
4/20/2015,123.216021,40.94649,32.557415,44.66,114.720001
4/17/2015,120.463941,39.715518,32.459936,44.450001,115.599998
4/16/2015,121.835152,40.23081,33.385971,45.779999,115.029999
4/15/2015,122.424194,40.326232,34.312006,45.73,115.43
4/14/2015,121.96069,39.744148,34.146292,45.529999,114.440002
4/13/2015,122.491789,39.849112,34.097555,44.77,115.139999
4/10/2015,122.7332,39.810945,34.273014,45.18,115.970001
4/9/2015,122.211752,39.581925,34.428977,45.630001,114.669998
4/8/2015,121.284735,39.524669,34.701913,45.169998,115.470001
